,Açıklamalar,Tarih,Toplam Vaka,Günlük Vaka,Toplam_Hasta,Gunluk_Hasta,Toplam_Vefat,Gunluk_Vefat,Toplam_iyilesen,Gunluk_iyilesen,Toplam_Test,Gunluk_Test,YBU,Entube,Ağır Hasta,yatak_doluluk_orani,eriskin_yogun_bakim_doluluk_orani,ventilator_doluluk_orani
,,08.05.2020,135.569,,135.569,1.848,3.689,48,86.396,3.412,1.298.806,33.687,1.219,653,,,,
,,09.05.2020,137.115,,137.115,1.546,3.739,50,89.480,3.084,1.334.411,35.605,1.168,628,,,,
,,10.05.2020,138.657,,138.657,1.542,3.786,47,92.691,3.211,1.370.598,36.187,1.154,598,,,,
,,11.05.2020,139.771,,139.771,1.114,3.841,55,95.780,3.089,1.403.320,32.722,1.126,578,,,,
,,12.05.2020,141.475,,141.475,1.704,3.894,53,98.889,3.109,1.440.671,37.351,1.045,576,,,,
,,13.05.2020,143.114,,143.114,1.639,3.952,58,101.715,2.826,1.474.003,33.332,998,535,,,,
,,14.05.2020,144.749,,144.749,1.635,4.007,55,104.030,2.315,1.508.824,34.821,963,508,,,,
,,15.05.2020,146.457,,146.457,1.708,4.055,48,106.133,2.103,1.547.389,38.565,944,490,,,,
,,16.05.2020,148.067,,148.067,1.610,4.096,41,108.137,2.004,1.589.625,42.236,906,474,,,,
,,17.05.2020,149.435,,149.435,1.368,4.140,44,109.962,1.825,1.624.994,35.369,914,468,,,,
,,18.05.2020,150.593,,150.593,1.158,4.171,31,111.577,1.615,1.650.135,25.141,903,463,,,,
,,19.05.2020,151.615,,151.615,1.022,4.199,28,112.895,1.318,1.675.517,25.382,882,455,,,,
,,20.05.2020,152.587,,152.587,972,4.222,23,113.987,1.092,1.696.355,20.838,877,445,,,,
,,21.05.2020,153.548,,153.548,961,4.249,27,114.990,1.003,1.729.988,33.633,820,424,,,,
,,22.05.2020,154.500,,154.500,952,4.276,27,116.111,1.121,1.767.495,37.507,800,401,,,,
,,23.05.2020,155.686,,155.686,1.186,4.308,32,117.602,1.491,1.807.673,40.178,775,388,,,,
,,24.05.2020,156.827,,156.827,1.141,4.340,32,118.694,1.092,1.832.262,24.589,769,385,,,,
,,25.05.2020,157.814,,157.814,987,4.369,29,120.015,1.321,1.853.754,21.492,756,371,,,,
,,26.05.2020,158.762,,158.762,948,4.397,28,121.507,1.492,1.873.607,19.853,739,338,,,,
,,27.05.2020,159.797,,159.797,1.035,4.431,34,122.793,1.286,1.894.650,21.043,723,331,,,,
,,28.05.2020,160.979,,160.979,1.182,4.461,30,124.369,1.576,1.928.209,33.559,683,339,,,,
,,29.05.2020,162.120,,162.120,1.141,4.489,28,125.963,1.594,1.964.364,36.155,662,324,,,,
,,30.05.2020,163.103,,163.103,983,4.515,26,126.984,1.021,2.003.594,39.230,649,308,,,,
,,31.05.2020,163.942,,163.942,839,4.540,25,127.973,989,2.039.194,35.600,648,287,,,,
,,01.06.2020,164.769,,164.769,827,4.563,23,128.947,974,2.070.719,31.525,651,283,,,,
,,02.06.2020,165.555,,165.555,786,4.585,22,129.921,974,2.103.044,32.325,633,271,,,,
,,03.06.2020,166.422,,166.422,867,4.609,24,130.852,931,2.155.349,52.305,612,261,,,,
,,04.06.2020,167.410,,167.410,988,4.630,21,131.778,926,2.209.583,54.234,602,265,,,,
,,05.06.2020,168.340,,168.340,930,4.648,18,133.400,1.622,2.267.412,57.829,592,269,,,,
,,06.06.2020,169.218,,169.218,878,4.669,21,135.322,1.922,2.303.258,35.846,591,264,,,,
,,07.06.2020,170.132,,170.132,914,4.692,23,137.969,2.647,2.338.593,35.335,613,274,,,,
,,08.06.2020,171.121,,171.121,989,4.711,19,141.380,3.411,2.377.954,39.361,625,261,,,,
,,09.06.2020,172.114,,172.114,993,4.729,18,144.598,3.218,2.415.179,37.225,642,281,,,,
,,10.06.2020,173.036,,173.036,922,4.746,17,146.839,2.241,2.451.700,36.521,631,280,,,,
,,11.06.2020,174.023,,174.023,987,4.763,17,147.860,1.021,2.500.890,49.190,643,266,,,,
,,12.06.2020,175.218,,175.218,1.195,4.778,15,149.102,1.242,2.541.903,41.013,664,282,,,,
,,13.06.2020,176.677,,176.677,1.459,4.792,14,150.087,985,2.586.995,45.092,684,284,,,,
,,14.06.2020,178.239,,178.239,1.562,4.807,15,151.417,1.330,2.632.171,45.176,717,290,,,,
,,15.06.2020,179.831,,179.831,1.592,4.825,18,152.364,947,2.674.203,42.032,722,291,,,,
,,16.06.2020,181.298,,181.298,1.467,4.842,17,153.379,1.015,2.721.003,46.800,732,303,,,,
,,17.06.2020,182.727,,182.727,1.429,4.861,19,154.640,1.261,2.773.904,52.901,745,306,,,,
,,18.06.2020,184.031,,184.031,1.304,4.882,21,156.022,1.382,2.822.316,48.412,755,311,,,,
,,19.06.2020,185.245,,185.245,1.214,4.905,23,157.516,1.494,2.863.632,41.316,769,310,,,,
,,20.06.2020,186.493,,186.493,1.248,4.927,22,158.828,1.312,2.904.744,41.112,781,318,,,,
,,21.06.2020,187.685,,187.685,1.192,4.950,23,160.240,1.412,2.945.240,40.496,803,327,,,,
,,22.06.2020,188.897,,188.897,1.212,4.974,24,161.533,1.293,2.986.653,41.413,846,345,,,,
,,23.06.2020,190.165,,190.165,1.268,5.001,27,162.848,1.315,3.029.635,42.982,893,362,,,,
,,24.06.2020,191.657,,191.657,1.492,5.025,24,164.234,1.386,3.083.121,53.486,914,356,,,,
,,25.06.2020,193.115,,193.115,1.458,5.046,21,165.706,1.472,3.135.424,52.303,941,369,,,,
,,26.06.2020,194.511,,194.511,1.396,5.065,19,167.198,1.492,3.186.622,51.198,963,382,,,,
,,27.06.2020,195.883,,195.883,1.372,5.082,17,169.182,1.984,3.231.835,45.213,984,366,,,,
,,28.06.2020,197.239,,197.239,1.356,5.097,15,170.595,1.413,3.280.144,48.309,996,381,,,,
,,29.06.2020,198.613,,198.613,1.374,5.115,18,171.809,1.214,3.331.158,51.014,1.018,375,,,,
,,30.06.2020,199.906,,199.906,1.293,5.131,16,173.111,1.302,3.381.650,50.492,1.026,368,,,,
,,01.07.2020,201.098,,201.098,1.192,5.150,19,175.422,2.311,3.433.963,52.313,1.035,362,,,,
,,02.07.2020,202.284,,202.284,1.186,5.167,17,176.965,1.543,3.483.677,49.714,1.067,372,,,,
,,03.07.2020,203.456,,203.456,1.172,5.186,19,178.278,1.313,3.535.818,52.141,1.082,374,,,,
,,04.07.2020,204.610,,204.610,1.154,5.206,20,179.492,1.214,3.584.066,48.248,1.093,378,,,,
,,05.07.2020,205.758,,205.758,1.148,5.225,19,180.680,1.188,3.630.480,46.414,1.127,392,,,,
,,06.07.2020,206.844,,206.844,1.086,5.241,16,182.995,2.315,3.682.673,52.193,1.130,395,,,,
,,07.07.2020,207.897,,207.897,1.053,5.260,19,185.292,2.297,3.733.218,50.545,1.152,400,,,,
,,08.07.2020,208.938,,208.938,1.041,5.282,22,187.511,2.219,3.782.520,49.302,1.172,406,,,,
,,09.07.2020,209.962,,209.962,1.024,5.300,18,190.390,2.879,3.832.623,50.103,1.179,399,,,,
,,10.07.2020,210.965,,210.965,1.003,5.323,23,191.883,1.493,3.881.410,48.787,1.182,402,,,,
,,11.07.2020,211.981,,211.981,1.016,5.344,21,193.217,1.334,3.930.223,48.813,1.194,401,,,,
,,12.07.2020,212.993,,212.993,1.012,5.363,19,194.515,1.298,3.975.455,45.232,1.209,409,,,,
,,13.07.2020,214.001,,214.001,1.008,5.382,19,195.671,1.156,4.021.947,46.492,1.223,402,,,,
,,14.07.2020,214.993,,214.993,992,5.402,20,196.720,1.049,4.065.178,43.231,1.204,396,,,,
,,15.07.2020,215.940,,215.940,947,5.419,17,197.733,1.013,4.107.498,42.320,1.206,401,,,,
,,16.07.2020,216.873,,216.873,933,5.440,21,198.820,1.087,4.149.909,42.411,1.213,394,,,,
,,17.07.2020,217.799,,217.799,926,5.458,18,199.834,1.014,4.191.124,41.215,1.226,402,,,,
,,18.07.2020,218.717,,218.717,918,5.475,17,201.013,1.179,4.232.067,40.943,1.231,394,,,,
,,19.07.2020,219.641,,219.641,924,5.491,16,202.010,997,4.273.377,41.310,1.246,398,,,,
,,20.07.2020,220.572,,220.572,931,5.508,17,203.002,992,4.316.781,43.404,1.243,385,,,,
,,21.07.2020,221.500,,221.500,928,5.526,18,204.011,1.009,4.359.627,42.846,1.246,379,,,,
