,Açıklamalar,Tarih,Toplam Vaka,Günlük Vaka,Toplam_Hasta,Gunluk_Hasta,Toplam_Vefat,Gunluk_Vefat,Toplam_iyilesen,Gunluk_iyilesen,Toplam_Test,Gunluk_Test,YBU,Entube,Ağır Hasta,yatak_doluluk_orani,eriskin_yogun_bakim_doluluk_orani,ventilator_doluluk_orani
,,12.06.2021,5.325.435,6.076,12.06.2021,503,48.668,75,5.198.057,5.112,56.789.542,218.758,,,973,"49,90%","60,00%","27,80%"
,,13.06.2021,5.330.447,5.012,13.06.2021,454,48.721,53,5.202.251,4.194,57.004.499,214.957,,,952,"49,90%","60,00%","27,80%"
,,14.06.2021,5.336.073,5.626,14.06.2021,428,48.795,74,5.206.836,4.585,57.223.789,219.290,,,929,"50,40%","60,20%","27,90%"
,,15.06.2021,5.342.028,5.955,15.06.2021,532,48.879,84,5.211.022,4.186,57.447.635,223.846,,,886,"50,40%","60,20%","27,90%"
,,16.06.2021,5.348.249,6.221,16.06.2021,548,48.950,71,5.215.654,4.632,57.674.798,227.163,,,881,"50,40%","60,20%","27,90%"
,,17.06.2021,5.354.153,5.904,17.06.2021,509,49.012,62,5.219.797,4.143,57.899.862,225.064,,,860,"50,40%","60,20%","27,90%"
,,18.06.2021,5.359.728,5.575,18.06.2021,497,49.071,59,5.224.224,4.427,58.123.990,224.128,,,856,"50,40%","60,20%","27,90%"
,,19.06.2021,5.365.208,5.480,19.06.2021,494,49.122,51,5.228.419,4.195,58.339.486,215.496,,,829,"50,40%","60,20%","27,90%"
,,20.06.2021,5.370.299,5.091,20.06.2021,409,49.185,63,5.232.638,4.219,58.552.783,213.297,,,813,"50,40%","60,20%","27,90%"
,,21.06.2021,5.375.593,5.294,21.06.2021,429,49.236,51,5.237.731,5.093,58.773.835,221.052,,,808,"49,30%","63,30%","27,00%"
,,22.06.2021,5.381.736,6.143,22.06.2021,565,49.293,57,5.242.945,5.214,58.997.073,223.238,,,791,"49,30%","63,30%","27,00%"
,,23.06.2021,5.387.545,5.809,23.06.2021,550,49.358,65,5.248.862,5.917,59.221.265,224.192,,,763,"49,30%","63,30%","27,00%"
